temps_s,theta1_mesure_deg,theta1_simule_deg,theta2_mesure_deg,theta2_simule_deg,erreur_theta1_deg,erreur_theta2_deg
0.0,181.37647786342154,181.37647786342154,187.41931440651535,187.41931440651535,0.0,0.0
0.01,181.78405472901753,181.5832547276941,188.629105723112,188.99655808239214,0.20080000132341172,0.3674523592801422
0.02,181.7808640187173,181.7998363160023,190.4739853440132,190.6876539857039,0.018972297285000893,0.2136686416907102
0.03,182.19051899164327,182.02725460164797,192.09358472840907,192.51490030566066,0.1632643899953105,0.4213155772515995
0.04,182.29289937122067,182.2666432207628,193.73809939319443,194.50225452406102,0.026256150457872437,0.7641551308665895
0.05,182.39526510299405,182.51925467206064,195.76066118612127,196.67540267403118,0.12398956906658878,0.9147414879098998
0.06,182.70226791227196,182.78647634557535,197.10921209460608,199.06224021700345,0.08420843330336873,1.953028122397382
0.07,182.80456855663365,183.06993554823575,199.16145091203433,201.6929914058471,0.2653669916020986,2.5315404938127704
0.08,183.00911551992874,183.37164301877806,201.40113718977673,204.60020357430258,0.3625274988493106,3.199066384525856
0.09,183.21358573922942,183.69410797717165,203.82930551089981,207.81865859334852,0.48052223794225596,3.989353082448697
0.1,183.4179740527329,184.04032357596327,206.34449834236275,211.38595726879694,0.622349523230392,5.041458926434188
0.11,183.62227531110872,184.41421312320546,209.31366119414844,215.3419848764346,0.7919378120967282,6.028323682286144
0.12,183.82648437826649,184.82121935815763,212.73886120348223,219.7279448233897,0.9947349798911692,6.989083619907445
0.13,184.2497608927637,185.26832832394055,216.43184876795215,224.5863158374849,1.0185674311768524,8.154467069532759
0.14,184.45438672398237,185.7645935475573,220.50057203993467,229.9601910998903,1.310206823574911,9.459619059955635
0.15,184.76111050547854,186.32168054200287,225.33972661559744,235.89299107317797,1.5605700365243136,10.553264457580536
0.16,185.04951700384854,186.95495475030592,230.72801138729767,242.42578820724404,1.9054377464573866,11.69777681994638
0.17,185.45622666893007,187.6837541981759,236.54051552186863,249.5966503563424,2.227527529245832,13.056134834473768
0.18,185.8728223860724,188.530978914442,243.04648705067856,257.43955018091356,2.6581565283696196,14.393063130234957
0.19,186.29028894347397,189.52374567326856,250.1116192925165,265.98183062527625,3.2334567297945855,15.870211332759732
0.2,186.911866705319,190.6981721644683,257.86083207578173,275.2530101897108,3.786305459149315,17.392178113929045
0.21,187.72319937637357,192.09175681120388,266.3687167031905,285.27013856592407,4.368557434830324,18.90142186273359
0.22,188.56178379217727,193.7423703659993,275.1493530284851,296.03564644090585,5.180586573822022,20.88629341242074
0.23,189.5876890375143,195.68825591073946,284.83664495664897,307.5373454969271,6.100566873225131,22.70070054027816
0.24,191.07056186486915,197.9680376135701,295.12888636488293,319.74848630867444,6.897475748700938,24.6195999437915
0.25,192.6702542989515,200.6179741261939,306.4942853056586,332.62564017405987,7.947719827242403,26.13135486840131
0.26,194.89516811388793,203.65862109530826,318.9141409060514,346.07850832333423,8.763452981420324,27.16436741728285
0.27,197.2206881105723,207.09998046567497,330.59661583368063,359.9938766415724,9.879292355102667,29.397260807891737
0.28,200.1223548327987,210.9443611239899,343.6156733627286,374.2474747656202,10.822006291191213,30.631801402891547
0.29,203.4289029465099,215.18637889888265,356.7762218247895,388.7039760840931,11.75747595237272,31.927754259303573
0.3,207.47154913623277,219.81257591684152,370.15810328407656,403.22253644159355,12.34102678060876,33.06443315751702
0.31,211.7377539725174,224.81267100993207,384.13090888018644,417.71123990571476,13.074917037414675,33.58033102552831
0.32,216.36799757096986,230.18943976005153,397.71093200935974,432.14215680257945,13.821442189081669,34.431224793219705
0.33,221.6009071714811,235.94739186590098,411.9566481246705,446.5441492448024,14.346484694419882,34.58750112013195
0.34,227.46940445674457,242.0921181594977,426.0776702765063,461.00325431413034,14.622713702753094,34.925584037624034
0.35,233.35221003262768,248.63029060617498,440.96571998251034,475.6626840614413,15.278080573547296,34.69696407893102
0.36,239.9087380381043,255.57032077708504,456.01889633739455,490.7184842210901,15.66158273898075,34.69958788369554
0.37,246.61201807611502,262.91411104525685,471.75512088965866,506.3964010608125,16.30209296914181,34.641280171153795
0.38,253.7080892476815,270.6159996239405,488.5803458256974,523.035830889769,16.907910376259004,34.45548506407167
0.39,261.30302827328575,278.6073245458173,505.9184950237116,540.9654084742334,17.304296272531484,35.04691345052174
0.4,269.0922648973026,286.80278074962087,525.4883059072462,560.4731363889392,17.71051585231832,34.984830481692995
0.41,277.22896459680334,295.1004200801373,547.176101490883,581.8063850170805,17.87145548333402,34.63028352619754
0.42,285.23849669046194,303.35732954824397,571.2369240183413,605.2257212045932,18.118832857782014,33.988797186252036
0.43,293.043653733425,311.46061862323495,598.0716086265664,630.7945511288272,18.416964889809922,32.72294250226066
0.44,300.8413386142604,319.4497416039435,626.6470378611034,658.1395089243904,18.60840298968313,31.49247106328698
0.45,308.20325368499334,327.4638100335397,656.7411396464794,686.615456329512,19.260556348546334,29.874316683032607
0.46,315.0084050639053,335.75024701294717,687.4855066880029,715.2754157430293,20.741841949041905,27.789909055026317
0.47,321.35803437705596,344.65640598457435,716.5141131552481,742.7106282141366,23.298371607518384,26.19651505888849
0.48,327.85610027217143,354.3315256766531,743.6296609909696,767.7804289957168,26.475425404481655,24.150768004747277
0.49,335.3224492382576,364.71615546283596,766.120649972988,789.7935986861467,29.393706224578356,23.672948713158682
0.5,343.8884100537131,375.5780917120178,786.0620405822627,808.4312137006834,31.689681658304742,22.369173118420697
0.51,353.570712507428,386.65856196411994,803.0981879196073,823.518052102346,33.08784945669193,20.419864182738717
0.52,363.7942955308171,397.725946578991,816.8198293392583,835.0553300027952,33.93165104817392,18.23550066353699
0.53,374.83026410301,408.58718453669815,827.8775445033151,843.19934628994,33.756920433688144,15.321801786624794
0.54,385.87679784426876,419.0907970064702,836.1695243492591,848.2532745924486,33.21399916220145,12.083750243189566
0.55,396.7987706698256,429.14958122022034,841.4192833587398,850.6064448428737,32.350810550394755,9.187161484133789
0.56,407.5638197653582,438.7128072336381,843.7070626423671,850.7115786409491,31.14898746827992,7.004515998582151
0.57,417.89298736991424,447.74607693943125,843.8533837715509,849.0477999915395,29.853089569517042,5.194416219988625
0.58,427.8139291516897,456.2321395511634,842.0491000935032,846.1136723833748,28.418210399473708,4.064572289871595
0.59,437.6928880665818,464.16478322855977,837.4117690670539,842.3998010665688,26.471895161977987,4.988031999514825
0.6,447.1058053193332,471.5351436435958,831.8046462529895,838.2791393121735,24.429338324262623,6.474493059183949
0.61,455.7753329197742,478.347587389284,825.1082683060257,834.0264068394523,22.572254469509794,8.918138533426522
0.62,464.1824182752505,484.61721617056014,816.8012413037275,829.814606184296,20.434797895309668,13.013364880568597
0.63,471.814880213295,490.3702870566156,809.3430436074535,825.7118489984671,18.555406843320633,16.368805391013506
0.64,478.840373319826,495.6439948362703,802.2642092228217,821.6910933454128,16.803621516444235,19.42688412259105
0.65,485.26711202816443,500.4780804819589,795.5758027070032,817.6858409895444,15.2109684537945,22.11003828254134
0.66,491.0648505285115,504.91258698219315,789.3087326715504,813.6038780298213,13.847736453681655,24.295145358270837
0.67,496.4041261628308,508.98804973039546,783.410893078185,809.3397353703463,12.583923567564636,25.92884229216119
0.68,501.5989959761504,512.7392038609136,777.7602589434606,804.7927566664424,11.14020788476319,27.03249772298178
0.69,506.1814985385715,516.1931233168984,771.6174397899983,799.8546918591427,10.011624778326969,28.23725206914434
0.7,510.1778337328583,519.3739084436909,765.9093405207736,794.4378573595249,9.196074710832532,28.52851683875119
0.71,514.1885828599255,522.3027807650366,760.2003077513878,788.476030609881,8.11419790511099,28.275722858493285
0.72,517.6096566676746,524.9980829830862,754.0812934995067,781.9244500837175,7.38842631541152,27.84315658421086
0.73,520.5871962582032,527.4747806212958,747.4276468554378,774.7562532371146,6.887584363092675,27.328606381676856
0.74,523.4481935404956,529.7420316279332,740.4508229033274,766.9427038098382,6.293838087437698,26.49188090651084
0.75,526.1946687687803,531.8119581741178,732.9156430971723,758.4876234355112,5.617289405337521,25.571980338338836
0.76,528.5762917262234,533.7033241592803,725.4055275884758,749.4347261177579,5.127032433056902,24.029198529282073
0.77,530.7438874482502,535.4414565824374,717.47897474284,739.8662632347779,4.697569134187087,22.387288491937916
0.78,532.47026121825,537.0624860203856,709.0184876158265,729.910104913122,4.592224802135595,20.891617297295483
0.79,534.4006550802627,538.616611287521,700.6431941066746,719.7549555061215,4.215956207258308,19.11176139944693
0.8,535.9176721331758,540.1533981092728,692.8225524911801,709.589929273177,4.2357259760969725,16.76737678199685
0.81,537.820815725026,541.7193722283037,685.3066550194641,699.5901823533424,3.898556503277591,14.2835273338783
0.82,539.5675465166623,543.3580194045093,678.6176687789192,689.9169127653261,3.7904728878469562,11.299243986406841
0.83,541.5295315425547,545.1097854150185,672.0175279209094,680.7173604074892,3.580253872463847,8.699832486579794
0.84,543.4231271230726,547.0120665081007,666.1648305923238,672.1247709703987,3.5889393850281115,5.959940378074929
0.85,545.6011538388453,549.0852996623133,661.0846089369107,664.205269308206,3.4841458234680647,3.1206603712952803
0.86,547.9218211337845,551.3341862055498,657.1705502357436,656.9544812358632,3.412365071765226,0.21606899988040082
0.87,550.3510871273595,553.7690333602499,653.0468548630168,650.3688434264004,3.417946232890352,2.6780114366164036
0.88,552.8507736653673,556.4008725975444,650.3203176203992,644.4261500696249,3.5500989321771828,5.894167550774368
0.89,555.5869657062848,559.2414135601344,647.9683083930705,639.0867406693754,3.654447853849703,8.881567723695138
0.9,558.5128491957802,562.3049606581574,645.9308166151042,634.3077291599371,3.7921114623772785,11.623087455167
0.91,561.6642311765029,565.6142921120909,644.5930678390871,630.0119829342874,3.9500609355879366,14.581084904799738
0.92,565.0278864888985,569.1963680217043,643.8959973954244,626.1124992530949,4.168481532805776,17.783498142329417
0.93,568.6681531578455,573.0813045187969,643.6213272396982,622.522347457525,4.413151360951377,21.09897978217317
0.94,572.6703593267466,577.3023737671961,644.1465848556812,619.15466896924,4.6320144404494625,24.99191588644134
0.95,576.8402963320882,581.8960039627591,644.328756081014,615.9226772903985,5.055707630670954,28.406078790615492
0.96,581.6655964235238,586.9017243640322,644.509918155609,612.7403818641969,5.2361279405085,31.769536291411992
0.97,586.431804940177,592.3617812680408,645.1183210235687,609.5247058702331,5.929976327863784,35.593615153335556
0.98,592.2032200825472,598.3165741537664,645.6396654287386,606.2189970836688,6.113354071219241,39.420668345069814
0.99,598.0107952043355,604.7983058530643,646.0938708160974,602.8460621447772,6.787510648728743,43.24780867132023
1.0,604.7927097605495,611.8304205558678,645.8709401519461,599.5138285446716,7.037710795318332,46.35711160727452
1.01,611.8297256611006,619.4238439615219,645.8937362255501,596.4208588435861,7.594118300421287,49.47287738196414
1.02,619.8770925548955,627.5785605425398,645.1640494293058,593.8903596627802,7.701467987644316,51.27368976652561
1.03,628.3797989045264,636.2944519409076,643.8560045204246,592.3223097894064,7.914653036381187,51.53369473101818
1.04,637.6525006322282,645.5551251116444,642.6619587928485,592.1624030998415,7.902624479416265,50.499555693007046
1.05,647.5966614430027,655.3271894220617,641.528339917107,593.901823936409,7.730527979058952,47.62651598069806
1.06,658.0639004840115,665.5634378839221,641.5634763483913,598.0436308840157,7.499537399910649,43.519845464375656
1.07,668.7360863774983,676.1916211943887,643.9935861098257,604.9979563663151,7.455534816890554,38.9956297435107
1.08,679.8375527777567,687.0855638505908,648.9062332671509,615.1227904106913,7.248011072834096,33.78344285645962
1.09,690.949474608633,698.0811196994827,658.4541788655677,628.6289769842517,7.1316450908496485,29.825201881315884
1.1,701.9950051387448,708.9695055846437,672.0728923661381,645.5950132427231,6.9745004458990145,26.477879123415054
1.11,712.9702077763629,719.4957258343932,688.3619682645275,665.9412927078046,6.525518058030302,22.420675556722944
1.12,723.4325407074048,729.4877372379111,707.7302281214227,689.2488019044342,6.055196530506411,18.481426216988496
1.13,733.158583274606,738.8619859164716,729.9163245878617,714.924991664923,5.703402641865469,14.991332922938659
1.14,741.9115241707311,747.6200556794176,752.2461844732154,742.2199769587456,5.708531508686536,10.026207514469759
1.15,750.0465822107966,755.9490938469196,774.5633612001038,770.0015854974943,5.902511636123068,4.561775702609507
1.16,757.6388941784779,764.1822346562499,795.9418782923861,796.9144941026813,6.543340477771908,0.9726158102951837
1.17,764.933718043146,772.4876670814571,815.9037642501786,822.1255177738844,7.553949038311084,6.221753523705763
1.18,772.1218970495993,780.9138887983388,834.9842615719436,845.2088264844632,8.79199174873949,10.224564912519567
1.19,779.5214709415502,789.3746864222474,852.350452637494,866.1305441226118,9.853215480697191,13.780091485117778
1.2,787.024767593023,797.7394387690865,867.3751652987802,885.0440213376511,10.714671176063566,17.66885603887088
1.21,794.3914022468165,805.8933309141192,881.7089924402422,902.1739114264952,11.501928667302751,20.464918986252965
1.22,801.5719095254155,813.7365126646224,894.4838355136072,917.8130841554876,12.164603139206786,23.329248641880312
1.23,808.8756605162301,821.2006307706009,906.0211287439981,932.2679739645198,12.324970254370692,26.246845220521713
1.24,815.841537340949,828.2588919916292,916.8203275510434,945.8213703373885,12.417354650680128,29.0010427863451
1.25,822.5132887522738,834.900340907046,927.211167608397,958.7313301154737,12.387052154772244,31.52016250707675
1.26,828.8659858790049,841.1272515790631,936.9515659923984,971.2262392527454,12.261265700058141,34.27467326034686
1.27,834.8961378360798,846.9551275527634,946.9264265593386,983.5048128157608,12.058989716683607,36.57838625642226
1.28,840.2654418728015,852.4103813394976,955.9253671616689,995.7258642669768,12.144939466696142,39.80049710530788
1.29,845.6127683051735,857.5209186594813,965.3805435603026,1007.9985912804062,11.908150354307772,42.61804772010357
1.3,850.4307666507178,862.3113019711789,975.1474862132804,1020.3922784301805,11.880535320460963,45.24479221690004
1.31,854.7295684532613,866.8017149867505,984.6535265532901,1032.9307195809693,12.072146533489143,48.27719302767919
1.32,859.0220867193556,871.0079616660598,994.9569228030572,1045.5922103538912,11.985874946704302,50.63528755083403
1.33,862.9609990469845,874.9399498820707,1005.646116238032,1058.3107787768154,11.978950835086172,52.66466253878336
1.34,866.7138677583275,878.5970148951941,1016.8987439862713,1070.9789470604753,11.88314713686657,54.08020307420413
1.35,870.4247269232316,881.9789148113225,1028.666584547008,1083.475156253879,11.554187888090901,54.80857170687097
1.36,873.7599224594231,885.0894929859352,1040.677861171961,1095.6812876020704,11.329570526512011,55.00342643010941
1.37,876.953482978453,887.9366607409962,1052.7238759255802,1107.4829081344071,10.983177762543171,54.75903220882707
1.38,880.1280335382937,890.5323973649544,1065.4062178135991,1118.7692706645612,10.404363826660603,53.363052850962035
1.39,883.0046909728335,892.893672287154,1077.5690933715655,1129.4383465801518,9.88898131432049,51.86925320858633
1.4,885.7863005619864,895.0504437608188,1089.769967369742,1139.438546637916,9.264143198832356,49.66857926817391
1.41,888.0595227399931,897.0371778756917,1100.8344934296804,1148.734684523558,8.97765513569861,47.900191093877496
1.42,890.2637655969932,898.8887922450431,1111.4891333943376,1157.3003237922883,8.625026648049923,45.81119039795072
1.43,892.3689124698835,900.641023980221,1121.6810976335482,1165.120529375746,8.272111510337526,43.43943174219771
1.44,893.7188155781676,902.3304296906505,1131.327922282238,1172.1918675819998,8.611614112482982,40.86394529976163
1.45,895.033290431759,903.9937267159856,1139.4145539943072,1178.5211278149268,8.960436284226626,39.10657382061947
1.46,896.2135208266295,905.6631317579023,1147.192462742056,1184.1148932016474,9.44961093127283,36.922430459591304
1.47,897.0903276282156,907.3680116518677,1153.5374346089918,1188.9798010892719,10.277684023652105,35.44236648028012
1.48,898.0365084633655,909.1368358333892,1160.0502248531352,1193.1258031637303,11.100327370023713,33.07557831059531
1.49,898.8394578880042,910.9971860380485,1164.871948400602,1196.5661846955675,12.157728150044353,31.694236294965627
1.5,899.3507448476893,912.9757563015019,1169.2002488001704,1199.3175645399424,13.625011453812595,30.117315739772238
1.51,900.0772075353079,915.0983529594799,1172.2142162394364,1201.3998951366286,15.021145424172008,29.185678897192265
1.52,900.4397398745972,917.3898946477884,1174.946985439491,1202.836462510014,16.95015477319128,27.889477070523014
1.53,900.8749642225636,919.8744162750643,1176.6362026139775,1203.653882927473,18.999452052500637,27.017680313495656
1.54,901.5314722114414,922.5762169972302,1177.5678977092705,1203.8806869399718,21.0447447857888,26.312789230701306
1.55,902.0400947551651,925.5201907533832,1177.9328046935257,1203.5506651564956,23.48009599821801,25.617860462970008
1.56,902.6143513033306,928.73220806776,1176.8520986544522,1202.711371133961,26.117856764429344,25.859272479508864
1.57,903.3505573804747,932.2398537356471,1175.4620664556662,1201.4248021310138,28.889296355172338,25.962735675347748
1.58,903.9307946043865,936.0724268233805,1172.5241179130644,1199.7673991080308,32.14163221899394,27.24328119496633
1.59,904.654943478832,940.2609406683458,1169.3986529351248,1197.8300467271185,35.60599718951373,28.431393791993738
1.6,905.6082456722443,944.8381228789787,1165.062122134629,1195.7180733521136,39.22987720673437,30.655951217484724
1.61,906.322443689482,949.8387073650154,1159.9035419844608,1193.5546351874564,43.516263675533274,33.65109320299563
1.62,907.275408490445,955.3063381156734,1154.035542721681,1191.494042445955,48.030929625228346,37.458499724273985
1.63,907.9935226948369,961.2857151064188,1146.830625927515,1189.6868915831383,53.2921924115819,42.856265655623304
1.64,908.8630454847198,967.8179500509134,1139.6217535398462,1188.26735550651,58.95490456619359,48.64560196666386
1.65,909.4456563176959,974.9405663986993,1131.7417037998657,1187.3531835715605,65.49491008100335,55.6114797716946
1.66,910.4092688379261,982.6873082895354,1122.7457763896052,1187.0443259061542,72.27803945160923,64.29854951654896
1.67,910.9203397885083,991.0790380521757,1113.4651867526718,1187.3601198428269,80.15869826366746,73.89493309015491
1.68,911.6873023398273,1000.1160169366283,1103.8730308189301,1188.2055578601116,88.42871459680102,84.33252704118145
1.69,912.4817822474573,1009.7751556401754,1093.7799547146033,1189.368284727921,97.29337339271808,95.58833001331779
1.7,913.0786598847344,1020.0096861048231,1083.461964756042,1190.511061755306,106.93102622008864,107.04909699926371
1.71,914.0270312658954,1030.7361215214478,1073.4303101198902,1191.1026735631901,116.70909025555235,117.67236344329977
1.72,915.2700749530853,1041.8455587162905,1064.1123012305727,1190.4602156640087,126.57548376320503,126.34791443343589
1.73,916.3903093778862,1053.224783801002,1054.958157178827,1187.8395275307084,136.83447442311586,132.88137035188146
1.74,918.147445241002,1064.7653503918607,1046.652947677734,1182.453555123796,146.61790515085883,135.80060744606203
1.75,920.0670126875427,1076.4225754720192,1038.5826131313693,1173.5892041991406,156.35556278447638,135.00659106777135
1.76,922.4415540789583,1088.2271946294748,1031.802538977837,1160.8143607179632,165.78564055051635,129.0118217401261
1.77,925.123814742787,1100.2937595989886,1026.0491633297597,1143.9644732878492,175.1699448562016,117.91530995808937
1.78,928.1222614108054,1112.4929707640115,1020.7602942897596,1124.1678013064663,184.37070935320605,103.40750701670679
1.79,931.5680577934762,1124.4946237912768,1015.9019745086772,1103.4123687647102,192.92656599780054,87.51039425603301
1.8,935.2754946403624,1135.8442696773782,1011.5452354358882,1084.1320340072673,200.56877503701583,72.58679857137919
1.81,939.4699992884741,1146.30461552123,1007.2419760221384,1067.5672017384834,206.834616232756,60.32522571634497
1.82,944.1019723974152,1155.9046996650263,1003.2111145735802,1053.6653776240155,211.80272726761103,50.45426305043531
1.83,949.3828963072657,1164.7533556043718,998.8365426391473,1041.819773366445,215.37045929710615,42.98323072729756
1.84,954.8189044655259,1172.9193641522402,995.0092432849154,1031.3815073872304,218.10045968671432,36.37226410231496
1.85,960.8923636381604,1180.44581269844,991.0283043701362,1021.7819463833479,219.5534490602796,30.75364201321174
1.86,967.9773555709123,1187.3555452543776,986.0162151648958,1012.5660024037454,219.37818968346542,26.549787238849607
1.87,975.5309901557416,1193.6773089458593,980.4877119662575,1003.430350543152,218.14631879011773,22.942638576894602
1.88,983.4564564552264,1199.452354229623,974.9254674036445,994.2294351405143,215.9958977743966,19.303967736869847
1.89,992.1503370732748,1204.7311423439455,970.0443488562252,984.9477248621573,212.5808052706707,14.90337600593212
1.9,1001.3250087941589,1209.5702957067078,965.2620947584286,975.6550833351595,208.24528691254915,10.392988576730971
1.91,1011.2603807391602,1214.0200770131553,962.264112644113,966.4463240179186,202.7596962739951,4.182211373805614
1.92,1021.3771902412961,1218.1216837395323,962.5351690652832,957.4119213554878,196.7444934982361,5.123247709795306
1.93,1031.9963447017142,1221.9074518291154,967.2162365340438,948.6346725953525,189.9111071274013,18.58156393869126
1.94,1042.8664904976888,1225.4006044112643,975.5746699571594,940.1844661703948,182.53411391357545,35.3902037867645
1.95,1054.1076523255492,1228.615497030356,989.6988361387685,932.1022422218894,174.50784470480664,57.59659391687913
1.96,1064.9394830511292,1231.5639900673934,1008.7635579746329,924.409397177129,166.62450701626423,84.35416079750394
1.97,1075.625603102704,1234.2577006365123,1031.9107749364607,917.1065954905496,158.6320975338082,114.80417944591106
1.98,1085.5192762056242,1236.7080118616634,1057.495747232811,910.173628296216,151.18873565603926,147.32211893659507
